eplenmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,reward/eprewmean_smooth,stats/ep_dist_max,stats/ep_dist_mean,stats/ep_dist_min,stats/ep_dist_skew,stats/ep_dist_std,stats/ep_rew_max,stats/ep_rew_mean,stats/ep_rew_min,stats/ep_rew_skew,stats/ep_rew_std,stats/num_coll,stats/target_x,stats/target_y,stats/target_z
1024.0,96,0.019144563,0.16699219,8.513009,-0.029710721,99.84128,-0.17087411880493164,1,1024,10.588798876997316,1024,-885.338553,0.68322533,0.4305478,0.062214237,-0.6602016687393188,0.117569275,-0.2691500514348436,-0.8645884309711221,-0.9737214970895096,2.4384590874429555,0.10789134632397476,117,-0.5,0.2,0.25
1024.0,77,0.009445624,0.083300784,8.546134,-0.01483383,97.516655,-0.1392308473587036,2,2048,23.940039620996686,2048,-884.5080545000001,0.68308836,0.42942432,0.010067864,-0.6489992141723633,0.11776256,0.7576145287281348,-0.8629663635547627,-0.9736988464717754,4.307747535140819,0.11736027935274218,93,-0.5,-0.2,0.25
1024.0,70,0.009514922,0.08232422,8.524444,-0.013382243,95.00734,-0.1181333065032959,3,3072,38.45883206499275,3072,-883.9328960000001,0.68426585,0.42849517,0.032261245,-0.5284731388092041,0.12091325,-0.14683659419556416,-0.8620923627251804,-0.9738930593170098,2.6654112146726017,0.11137736566823021,113,-0.5,0.2,0.25
1024.0,80,0.014675008,0.12841797,8.4424925,-0.019663384,93.72557,-0.0930401086807251,4,4096,51.16315831399697,4096,-884.89367875,0.66912687,0.4296211,0.06899872,-0.6325052380561829,0.11143463,-0.29375408155859584,-0.8669687764211684,-0.9713067582150374,2.4489403570407515,0.09903864898240812,112,-0.5,0.2,0.25
1024.0,82,0.013869181,0.12509766,8.465132,-0.018698236,89.610825,-0.12476778030395508,5,5120,63.63291769698844,5120,-883.909017,0.6897213,0.42546368,0.031245526,-0.6047452092170715,0.12143955,-0.14156571541003515,-0.8593460645055858,-0.9747780962108361,2.387401858262943,0.11364669131178891,124,-0.5,0.2,0.25
1024.0,68,0.020022932,0.16669922,8.366102,-0.019523328,87.39772,-0.17022967338562012,6,6144,78.5830636969913,6144,-882.7661976666667,0.68669844,0.4238099,0.038946234,-0.7342360019683838,0.122853994,-0.17755360080023608,-0.8564961925343497,-0.9742906820956355,2.563050679808703,0.12238844051256309,118,-0.5,-0.2,0.25
1024.0,32,0.021590915,0.16972657,8.273379,-0.02062359,86.14333,-0.07547438144683838,7,7168,110.10724676999962,7168,-882.4523271428571,0.68559134,0.424012,0.05665538,-0.5870155096054077,0.118380785,-0.24835522948768174,-0.859930765231083,-0.9741103190475403,2.291918891616947,0.10919271139660672,103,-0.5,-0.2,0.25
1024.0,80,0.021203313,0.18232422,8.2540455,-0.020679897,84.42003,-0.05025625228881836,8,8192,122.89404965400172,8192,-882.142883625,0.6811362,0.42517686,0.0264512,-0.5410493612289429,0.121748626,-0.11129304016672759,-0.8593523232308596,-0.9733743291932623,2.4121311965296424,0.11219068037958634,109,-0.5,0.2,0.25
1024.0,72,0.01742123,0.14580078,8.206075,-0.017649839,85.073265,-0.052828192710876465,9,9216,137.11574797799403,9216,-883.0096208888889,0.6772846,0.43525872,0.03315639,-0.6432590484619141,0.11497209,-0.15129297471640757,-0.8690854675962987,-0.9727246984395197,2.8498841468921863,0.10373086404555752,109,-0.5,0.2,0.25
1024.0,80,0.015879354,0.13310547,8.174526,-0.018450074,82.2862,-0.028199195861816406,10,10240,149.90330080299464,10240,-882.7318361,0.6735222,0.4252716,0.040791273,-0.6162228584289551,0.12036925,-0.18538112899676984,-0.8596013412636184,-0.9720779126330933,2.629136851632859,0.11430153500902211,137,-0.5,-0.2,0.25
