# {"t_start": 1573051801.5871422, "env_id": "MARARandomTarget-v0"} 
r,l,t
-886.942441,1024,34.122179
-886.476473,1024,46.407575
-882.177817,1024,58.794367
-883.430235,1024,72.923134
-881.445265,1024,90.664136
