# {"t_start": 1573052283.0108342, "env_id": "MARARandomTarget-v0"} 
r,l,t
-887.165778,1024,262.137081
-881.833294,1024,714.799664
-887.342712,1024,737.266568
-882.950339,1024,753.605901
-879.15758,1024,770.345888
-878.840358,1024,793.845037
-885.527811,1024,812.526546
-884.37674,1024,833.432147
-884.860981,1024,852.615998
-884.026608,1024,868.626937
-887.44572,1024,889.305131
-881.478808,1024,906.574594
-880.747322,1024,922.950385
-884.704008,1024,946.605942
-884.501287,1024,960.3591
-887.721697,1024,975.647245
-892.259043,1024,997.818356
-879.492322,1024,1016.684083
-882.598959,1024,1041.699622
-874.307316,1024,1057.183721
-874.670284,1024,1083.383736
-875.720599,1024,1100.464449
-870.287623,1024,1119.540668
-870.222448,1024,1140.200913
-863.764952,1024,1161.332721
-879.104279,1024,1186.313215
