# {"t_start": 1573051910.5021222, "env_id": "MARARandomTarget-v0"} 
r,l,t
-885.192358,1024,15.089639
-885.142818,1024,33.954287
-878.362174,1024,50.456161
-883.359495,1024,70.338057
-878.682694,1024,84.394073
