# {"t_start": 1573052146.8445573, "env_id": "MARARandomTarget-v0"} 
r,l,t
-884.497387,1024,15.102968
-883.941528,1024,27.813569
-875.250801,1024,40.976794
-883.146169,1024,54.495251
-885.569315,1024,74.436482
