eplenmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,reward/eprewmean_smooth,stats/ep_dist_max,stats/ep_dist_mean,stats/ep_dist_min,stats/ep_dist_skew,stats/ep_dist_std,stats/ep_rew_max,stats/ep_rew_mean,stats/ep_rew_min,stats/ep_rew_skew,stats/ep_rew_std,stats/num_coll,stats/target_x,stats/target_y,stats/target_z
1024.0,68,0.018228117,0.16416016,8.550645,-0.026322603,99.50123,-0.14970922470092773,1,1024,14.889386659000138,1024,-884.497387,0.6833842,0.42966792,0.06219292,-0.6822609305381775,0.11765269,-0.2690714206366125,-0.8637669791943903,-0.9737477456845384,2.4816462258225616,0.10963516352994833,114,-0.5,0.2,0.25
1024.0,83,0.012485513,0.10058594,8.574197,-0.015652988,97.712326,-0.15972304344177246,2,2048,27.302673924999908,2048,-884.2194575,0.6779006,0.42707705,0.0396641,-0.5978184938430786,0.11593103,-0.1806195987563931,-0.863224148357024,-0.9728294410201562,2.5282005096526206,0.10593024563766679,98,-0.5,-0.2,0.25
1024.0,79,0.011827074,0.10410156,8.54448,-0.015520489,93.59826,-0.1122814416885376,3,3072,40.230385724999906,3072,-881.2299053333332,0.68719727,0.42148793,0.039432097,-0.6173567175865173,0.12414937,-0.17963176453262242,-0.8547371098781626,-0.9743716236680179,2.4008038831655254,0.12162269661901104,114,-0.5,0.2,0.25
1024.0,76,0.015974129,0.13798828,8.517724,-0.021651639,92.74166,-0.07538318634033203,4,4096,53.661103207999986,4096,-881.70897125,0.6828034,0.42561227,0.069088936,-0.5777410864830017,0.11550784,-0.2940756604330893,-0.8624474310872261,-0.9736516720141997,2.4388090867831536,0.10556012320307155,112,-0.5,0.2,0.25
1024.0,51,0.017500218,0.1415039,8.55391,-0.018355211,90.88503,-0.1309521198272705,5,5120,73.73471856200013,5120,-882.48104,0.6862629,0.42872316,0.0153764775,-0.5774649381637573,0.11486181,0.13954918975803343,-0.8648137842162578,-0.9742198464884974,2.885713376864393,0.10468747702871686,125,-0.5,0.2,0.25
