eplenmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,reward/eprewmean_smooth,stats/ep_dist_max,stats/ep_dist_mean,stats/ep_dist_min,stats/ep_dist_skew,stats/ep_dist_std,stats/ep_rew_max,stats/ep_rew_mean,stats/ep_rew_min,stats/ep_rew_skew,stats/ep_rew_std,stats/num_coll,stats/target_x,stats/target_y,stats/target_z
1024.0,60,0.0181559,0.16269532,8.508387,-0.027827885,99.45529,-0.1490039825439453,1,1024,16.828559514000062,1024,-883.942836,0.6831139,0.42761087,0.06221426,-0.5600164532661438,0.11722092,-0.2691501338814487,-0.8632254262053825,-0.9737030663003058,2.333147785851976,0.10524732069000131,114,-0.5,0.2,0.25
1024.0,57,0.010347499,0.08916016,8.547899,-0.015463872,98.18285,-0.16013383865356445,2,2048,34.920899147,2048,-885.0807830000001,0.6876121,0.43430713,0.0053254385,-0.6747517585754395,0.1155853,2.614725127053516,-0.8654479784424889,-0.9744387843749432,13.194180394126615,0.1491176700417061,96,-0.5,-0.2,0.25
1024.0,89,0.012167277,0.10664062,8.557776,-0.014796788,94.49007,-0.14712822437286377,3,3072,46.41761147899979,3072,-883.4838036666666,0.6853343,0.42463744,0.02290835,-0.5415974855422974,0.11992522,-0.07639398140469167,-0.8596580518216419,-0.974068304332898,2.6503249866899643,0.11279240247954664,102,-0.5,0.2,0.25
1024.0,57,0.017540973,0.14375,8.531355,-0.021294776,93.480225,-0.10800206661224365,4,4096,64.13585427599992,4096,-884.34253525,0.6676744,0.42906365,0.034925744,-0.6527169346809387,0.11214153,-0.1597038962070252,-0.8661315718843773,-0.9710481790401815,2.5916416899597365,0.1015461104741133,111,-0.5,0.2,0.25
