# {"t_start": 1573051721.8487792, "env_id": "MARARandomTarget-v0"} 
r,l,t
-883.942836,1024,16.480398
-886.21873,1024,35.664312
-880.289845,1024,47.007493
-886.91873,1024,64.848727
