# {"t_start": 1573061422.429787, "env_id": "MARARandomTarget-v0"} 
r,l,t
-889.814199,1024,14.168524
-887.650112,1024,32.221117
-886.283754,1024,45.337119
-873.49349,1024,57.15815
-883.804975,1024,70.415728
-883.620479,1024,93.07167
-886.824619,1024,107.365415
-880.922669,1024,121.547946
-880.999814,1024,134.796715
-884.243245,1024,151.794074
