eplenmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,reward/eprewmean_smooth,stats/ep_dist_max,stats/ep_dist_mean,stats/ep_dist_min,stats/ep_dist_skew,stats/ep_dist_std,stats/ep_rew_max,stats/ep_rew_mean,stats/ep_rew_min,stats/ep_rew_skew,stats/ep_rew_std,stats/num_coll,stats/target_x,stats/target_y,stats/target_z
1024.0,2,1.8740611e-05,0.0,8.508765,-0.0005437282,104.117065,-0.0006219148635864258,1,1024,431.75526199499996,1024,-889.71288,0.6731643,0.43607536,0.056591738,-0.7304633855819702,0.116045736,-0.24811373735632547,-0.8688602341647045,-0.9720157569654674,2.4885716281550296,0.10475006437116027,117,-0.5,-0.2,0.25
1024.0,47,1.1740478e-05,0.0,8.499576,-0.00021655593,103.07219,-0.004403114318847656,2,2048,455.73399259100006,2048,-888.3191830000001,0.6837388,0.4314709,0.061273754,-0.5826964974403381,0.116848975,-0.26567276568527853,-0.8661381697405365,-0.9738062743122148,2.200995297314383,0.1019431617405651,110,-0.5,-0.2,0.25
1024.0,48,1.9247647e-05,0.0,8.496558,-0.0005774004,101.995605,0.005650877952575684,3,3072,477.07665147800003,3072,-886.4448303333334,0.6886522,0.42733282,0.036103733,-0.6349401473999023,0.11837314,-0.1650808039987991,-0.8620079350213927,-0.9746065574137603,2.50124413361752,0.1103368783955517,84,-0.5,0.2,0.25
1024.0,55,1.9751282e-05,0.0,8.49859,-0.00050440175,102.11006,-0.00402069091796875,4,4096,495.47852129800003,4096,-885.88409875,0.68063813,0.43135598,0.039139915,-0.6506971120834351,0.12084413,-0.17838359998962983,-0.8634784222677929,-0.9732910268687532,2.5700444028367624,0.11339268429607577,104,-0.5,-0.2,0.25
1024.0,30,2.0072766e-05,0.0,8.506517,-0.00035962317,101.698135,0.0032994747161865234,5,5120,528.961527465,5120,-885.3407994000002,0.6832799,0.42840996,0.034027517,-0.6961998343467712,0.11815393,-0.15549182696121266,-0.8624683608760628,-0.9737305116214995,2.5965096971102968,0.11253969695630171,105,-0.5,0.2,0.25
1024.0,41,1.5304777e-05,0.0,8.509291,-0.00024054595,100.7595,-0.0038689374923706055,6,6144,553.674104128,6144,-884.7777581666668,0.6747917,0.42813113,0.04710752,-0.622904360294342,0.12159738,-0.2112008294012404,-0.8612915543906161,-0.972297512981759,2.2035535417192453,0.11062006318211465,85,-0.5,-0.2,0.25
1024.0,51,9.8307595e-05,0.0,8.504602,-0.00056838937,99.16483,0.010694324970245361,7,7168,573.514749636,7168,-884.0212608571429,0.68530124,0.42522347,0.040718455,-0.5774940252304077,0.12234757,-0.18507530115439097,-0.8588694111510011,-0.9740628926718504,2.399408956711241,0.11421019958263434,106,-0.5,-0.2,0.25
1024.0,29,0.0011618637,0.0033203126,8.499426,-0.0016659219,97.923805,-0.002655506134033203,8,8192,607.7738185170001,8192,-883.5424075,0.68274885,0.42674017,0.022719268,-0.616854727268219,0.12250693,-0.07396840866044552,-0.8595609703737659,-0.9736426359804072,2.5305850176127693,0.11617338365097465,104,-0.5,0.2,0.25
1024.0,32,0.008112302,0.11806641,8.498578,-0.0018934753,96.930115,-0.033923983573913574,9,9216,638.819482396,9216,-883.8809277777777,0.6811254,0.4331141,0.036142744,-0.645781397819519,0.11885462,-0.16525640361603733,-0.8658096583708841,-0.9733725269720077,2.6723290987583135,0.10902603073032131,103,-0.5,-0.2,0.25
1024.0,58,0.0023732532,0.022851562,8.499121,-0.0024464703,94.8175,-0.025934219360351562,10,10240,656.385556921,10240,-884.4245737000001,0.6780173,0.4352777,0.025465805,-0.6278870701789856,0.11675061,-0.10318463048953952,-0.8684740104583843,-0.9728492485249758,2.532337688212509,0.10333285621966234,76,-0.5,-0.2,0.25
1024.0,50,0.004758322,0.05908203,8.49898,-6.5886554e-05,92.81984,-0.019077181816101074,11,11264,676.50362905,11264,-884.8259808181818,0.67755044,0.43720198,0.02164046,-0.6677146553993225,0.11963297,-0.05853839151090612,-0.8680078630835937,-0.9727699389720088,2.872056558183322,0.11070479942613956,100,-0.5,0.2,0.25
1024.0,54,0.00371619,0.034863282,8.50939,0.0018407677,89.46501,-0.051204681396484375,12,12288,695.2049142160001,12288,-884.5378185000001,0.6830201,0.4232157,0.03385338,-0.6256609559059143,0.114923045,-0.154662135112689,-0.8607109700133089,-0.9736875547980635,2.5423103620143626,0.1079908754016928,114,-0.5,-0.2,0.25
1024.0,44,0.0045080944,0.050390624,8.514726,0.00017117355,89.833206,-0.06898188591003418,13,13312,718.0949090030001,13312,-884.9029584615384,0.6828357,0.4332093,0.041798364,-0.6656309962272644,0.11309386,-0.1895879121135885,-0.8684420295402506,-0.973657023344384,2.7598121661180426,0.10247934827279713,95,-0.5,0.2,0.25
